Frozen,2013,Disney,1072402000,398402000
Toy Story 3,2010,Disney Pixar,1063171911,415004880
The Lion King,1994,Disney,987483777,422783777
Despicable Me 2,2013,Unversal,970761885,368061265
Finding Nemo,2003,Pixar,936743261,380843261
Shrek 2,2004,Dreamworks,919838758,441226247
Ice Age: Dawn of the Dinosaurs,2009,Fox,886686817,196573705
Ice Age: Continental Drift,2012,Fox,877244782,161321843
Shrek the Third,2007,Dreamworks,798958162,322719944
Shrek Forever After,2010,Dreamworks,752600867,238736787
